Index;Pays;Groupe;Points;Butmarques;Butspris;Difference;
1;Russie;A;0;0;0;0;
2;Roumanie;A;0;0;0;0;
3;Albanie;A;0;0;0;0;
4;Suisse;A;0;0;0;0;
5;Galles;B;0;0;0;0;
6;Slovaquie;B;0;0;0;0;
7;Angleterre;B;0;0;0;0;
8;France;B;0;0;0;0;
9;Allemagne;C;0;0;0;0;
10;Ukraine;C;0;0;0;0;
11;Pologne;C;0;0;0;0;
12;Irlande Du Nord;C;0;0;0;0;
13;Turquie;D;0;0;0;0;
14;Croatie;D;0;0;0;0;
15;Espagne;D;0;0;0;0;
16;Republique Tchèque;D;0;0;0;0;
17;Irlande;E;0;0;0;0;
18;Suède;E;0;0;0;0;
19;Belgique;E;0;0;0;0;
20;Italie;E;0;0;0;0;
21;Autriche;F;0;0;0;0;
22;Hongrie;F;0;0;0;0;
23;Portugal;F;0;0;0;0;
24;Islande;F;0;0;0;0;
25;Brésil;G;0;0;0;0;
26;Argentine;G;0;0;0;0;
27;Cameroun;G;0;0;0;0;
28;Chili;G;0;0;0;0;
29;États-Unis;H;0;0;0;0;
30;Sénégal;H;0;0;0;0;
31;Japon;H;0;0;0;0;
32;Chine;H;0;0;0;0;
