Index;Phase;PaysA;PaysB;ScoreA;ScoreB;Winner;Cote1;CoteN;Cote2;CoteA;CoteB;Dateheure;Stade
1;0;1;2;-1;-1;0;1.25;4.8;9;0;0;2018-06-14 16:00:00;Stade Loujniki
2;0;3;4;-1;-1;0;2;3;3.5;0;0;2018-06-15 13:00:00;Iekaterinbourg Arena
3;0;5;6;-1;-1;0;1.85;3.1;3.9;0;0;2018-06-15 16:00:00;Stade Krestovski
4;0;7;8;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-15 19:00:00;Stade olympique Ficht
5;0;13;14;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-16 11:00:00;Kazan-Arena
6;0;11;12;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-16 17:00:00;Stade Yubileyniy
7;0;9;10;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-16 14:00:00;Otkrytie Arena
8;0;15;16;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-16 20:00:00;Stade de Kaliningrad
9;0;17;18;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-17 19:00:00;Stade de Rostov-sur-le-Don
10;0;19;20;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-17 13:00:00;Stade de Samara
11;0;21;22;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-17 16:00:00;Stade Loujniki
12;0;23;24;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-18 13:00:00;Stade de Nijni-Novgorod
13;0;8;6;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-18 16:00:00;Stade olympique Ficht
14;0;2;4;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-18 19:00:00;Stade central
15;0;1;3;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-19 13:00:00;Otkrytie Arena
16;0;7;5;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-19 16:00:00;Stade Yubileyniy
17;0;10;12;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-19 19:00:00;Stade Krestovski
18;0;9;11;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-20 16:00:00;Stade de Rostov-sur-le-Don
19;0;20;18;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-20 13:00:00;Stade Loujniki
20;0;16;14;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-20 19:00:00;Kazan-Arena
21;0;15;13;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-21 13:00:00;Iekaterinbourg Arena
22;0;19;17;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-21 16:00:00;Stade de Samara
23;0;24;22;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-21 19:00:00;Stade de Nijni-Novgorod
24;0;23;21;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-22 16:00:00;Stade central
25;0;2;3;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-22 13:00:00;Stade Krestovski
26;0;4;1;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-22 19:00:00;Stade de Kaliningrad
27;0;8;5;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-23 16:00:00;Stade olympique Ficht
28;0;6;7;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-23 19:00:00;Stade de Rostov-sur-le-Don
29;0;10;11;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-23 13:00:00;Otkrytie Arena
30;0;12;9;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-24 13:00:00;Stade de Nijni-Novgorod
31;0;16;13;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-24 19:00:00;Kazan-Arena
32;0;14;15;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-24 16:00:00;Iekaterinbourg Arena
33;0;24;21;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-25 15:00:00;Stade de Samara
34;0;22;23;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-25 15:00:00;Stade central
35;0;20;17;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-25 19:00:00;Stade Yubileyniy
36;0;18;19;-1;-1;0;1.7;3.2;4.3;0;0;2018-06-25 19:00:00;Stade de Kaliningrad
37;0;16;13;-1;-1;0;1.7;3.2;4.3;3.2;0;2018-06-26 15:00:00;Stade Loujniki
38;0;14;15;-1;-1;0;1.7;3.2;4.3;3.2;0;2018-06-26 15:00:00;Stade olympique Ficht
39;0;12;9;-1;-1;0;1.7;3.2;4.3;3.2;0;2018-06-26 19:00:00;Stade Krestovski
40;0;10;11;-1;-1;0;1.7;3.2;4.3;3.2;0;2018-06-26 19:00:00;Stade de Rostov-sur-le-Don
41;0;24;21;-1;-1;0;1.7;3.2;4.3;3.2;0;2018-06-27 19:00:00;Otkrytie Arena
42;0;22;23;-1;-1;0;1.7;3.2;4.3;3.2;0;2018-06-27 19:00:00;Stade de Nijni-Novgorod
43;0;20;17;-1;-1;0;1.7;3.2;4.3;3.2;0;2018-06-27 15:00:00;Kazan-Arena
44;0;18;19;-1;-1;0;1.7;3.2;4.3;3.2;0;2018-06-27 15:00:00;Iekaterinbourg Arena
45;0;28;25;-1;-1;0;1.7;3.2;4.3;3.2;0;2018-06-28 19:00:00;Stade de Kaliningrad
46;0;26;27;-1;-1;0;1.7;3.2;4.3;3.2;0;2018-06-28 19:00:00;Stade Yubileyniy
47;0;32;29;-1;-1;0;1.7;3.2;4.3;3.2;0;2018-06-28 15:00:00;Stade central
48;0;30;31;-1;-1;0;1.7;3.2;4.3;3.2;0;2018-06-28 15:00:00;Stade de Samara
49;8;22;3;-1;-1;0;1.7;3.2;4.3;3.2;4.3;2018-06-30 19:00:00;Stade olympique Ficht
50;8;20;5;-1;-1;0;1.7;3.2;4.3;3.2;4.3;2018-06-30 15:00:00;Kazan-Arena
51;8;15;1;-1;-1;0;1.7;3.2;4.3;3.2;4.3;2018-07-01 15:00:00;Stade Loujniki
52;8;15;1;-1;-1;0;1.7;3.2;4.3;3.2;4.3;2018-07-01 19:00:00;Stade de Nijni-Novgorod
53;8;15;1;-1;-1;0;1.7;3.2;4.3;3.2;4.3;2018-07-02 15:00:00;Stade de Samara
54;8;15;1;-1;-1;0;1.7;3.2;4.3;3.2;4.3;2018-07-02 19:00:00;Stade de Rostov-sur-le-Don
55;8;15;1;-1;-1;0;1.7;3.2;4.3;3.2;4.3;2018-07-03 15:00:00;Stade Krestovski
56;8;15;1;-1;-1;0;1.7;3.2;4.3;3.2;4.3;2018-07-03 19:00:00;Otkrytie Arena
57;4;15;1;-1;-1;0;1.7;3.2;4.3;3.2;4.3;2018-07-06 15:00:00;Stade de Nijni-Novgorod
58;4;15;1;-1;-1;0;1.7;3.2;4.3;3.2;4.3;2018-07-06 19:00:00;Kazan-Arena
59;4;15;1;-1;-1;0;1.7;3.2;4.3;3.2;4.3;2018-07-07 19:00:00;Stade olympique Ficht
60;4;15;1;-1;-1;0;1.7;3.2;4.3;3.2;4.3;2018-07-07 15:00:00;Stade de Samara
61;2;15;1;-1;-1;0;1.7;3.2;4.3;3.2;4.3;2018-07-10 19:00:00;Stade Krestovski
62;2;15;1;-1;-1;0;1.7;3.2;4.3;3.2;4.3;2018-07-11 19:00:00;Stade Loujniki
63;3;15;1;-1;-1;0;1.7;3.2;4.3;3.2;4.3;2018-07-14 15:00:00;Stade Krestovski
64;1;15;1;-1;-1;0;1.7;3.2;4.3;3.2;4.3;2018-07-15 16:00:00;Stade Loujniki
